    0.0125     -0.025  0.0636364 	       5.4764741    -0.0091034271     -0.039919023 
    0.0125     -0.025  0.0656566 	       5.5012512    -0.0092233455     -0.040871392 
    0.0125     -0.025  0.0676768 	       5.5261984    -0.0093448144     -0.041845819 
    0.0125     -0.025   0.069697 	       5.5513109    -0.0094683737      -0.04283528 
    0.0125     -0.025  0.0717172 	       5.5765897    -0.0095933661     -0.043846686 
    0.0125     -0.025  0.0737374 	       5.6020413    -0.0097203867     -0.044877848 
    0.0125     -0.025  0.0757576 	       5.6276586    -0.0098478185     -0.045922282 
    0.0125     -0.025  0.0777778 	       5.6534463    -0.0099797485      -0.04699014 
    0.0125     -0.025   0.079798 	       5.6794037     -0.010113887      -0.04807879 
    0.0125     -0.025  0.0818182 	       5.7055327     -0.010249776     -0.049185274 
    0.0125     -0.025  0.0838384 	       5.7318297     -0.010388437     -0.050316499 
    0.0125     -0.025  0.0858586 	       5.7582967     -0.010529484     -0.051469975 
    0.0125     -0.025  0.0878788 	       5.7849338     -0.010672777      -0.05264597 
    0.0125     -0.025   0.089899 	       5.8117412      -0.01081806     -0.053845931 
    0.0125     -0.025  0.0919192 	       5.8387207     -0.010966876      -0.05506553 
    0.0125     -0.025  0.0939394 	       5.8658686     -0.011117576     -0.056312564 
    0.0125     -0.025  0.0959596 	       5.8931875     -0.011273585     -0.057588085 
    0.0125     -0.025  0.0979798 	       5.9206756     -0.011429663      -0.05888534 
    0.0125     -0.025        0.1 	       5.9483335     -0.011588154     -0.060208609 
    0.0125 -0.0229167       -0.1 	        3.946911    -0.0035876985      0.004769509 
    0.0125 -0.0229167 -0.0979798 	        3.961347    -0.0036119224      0.004373711 
    0.0125 -0.0229167 -0.0959596 	       3.9758587    -0.0036367564     0.0039781251 
    0.0125 -0.0229167 -0.0939394 	       3.9904479    -0.0036619688     0.0035830186 
    0.0125 -0.0229167 -0.0919192 	       4.0051158    -0.0036883713     0.0031879662 
    0.0125 -0.0229167  -0.089899 	       4.0198641    -0.0037150022      0.002792961 
    0.0125 -0.0229167 -0.0878788 	       4.0346944     -0.003741616     0.0023978736 
    0.0125 -0.0229167 -0.0858586 	       4.0496082    -0.0037700596     0.0020025948 
    0.0125 -0.0229167 -0.0838384 	       4.0646065    -0.0037986816     0.0016067617 
    0.0125 -0.0229167 -0.0818182 	       4.0796911    -0.0038280268     0.0012104248 
    0.0125 -0.0229167  -0.079798 	       4.0948636    -0.0038582103    0.00081351298 
    0.0125 -0.0229167 -0.0777778 	       4.1101255    -0.0038885134    0.00041570653 
    0.0125 -0.0229167 -0.0757576 	       4.1254778    -0.0039198977    1.6885293e-05 
    0.0125 -0.0229167 -0.0737374 	       4.1409225    -0.0039527351   -0.00038308182 
    0.0125 -0.0229167 -0.0717172 	       4.1564606    -0.0039851921   -0.00078416201 
    0.0125 -0.0229167  -0.069697 	       4.1720939    -0.0040193491    -0.0011865899 
    0.0125 -0.0229167 -0.0676768 	       4.1878239    -0.0040534235      -0.00159051 
    0.0125 -0.0229167 -0.0656566 	       4.2036515    -0.0040882409    -0.0019961121 
    0.0125 -0.0229167 -0.0636364 	       4.2195784    -0.0041239746    -0.0024036251 
    0.0125 -0.0229167 -0.0616162 	       4.2356061    -0.0041604273    -0.0028129967 
    0.0125 -0.0229167  -0.059596 	       4.2517359    -0.0041974937    -0.0032244874 
    0.0125 -0.0229167 -0.0575758 	       4.2679696    -0.0042354604    -0.0036381669 
    0.0125 -0.0229167 -0.0555556 	        4.284308    -0.0042742503    -0.0040543011 
    0.0125 -0.0229167 -0.0535354 	       4.3007529    -0.0043130003    -0.0044730891 
    0.0125 -0.0229167 -0.0515152 	       4.3173055    -0.0043532599    -0.0048945882 
    0.0125 -0.0229167  -0.049495 	        4.333967    -0.0043942723    -0.0053189462 
    0.0125 -0.0229167 -0.0474747 	       4.3507391    -0.0044360953    -0.0057463736 
    0.0125 -0.0229167 -0.0454545 	        4.367623    -0.0044791091    -0.0061767623 
    0.0125 -0.0229167 -0.0434343 	         4.38462    -0.0045223788    -0.0066107923 
    0.0125 -0.0229167 -0.0414141 	       4.4017315    -0.0045666773    -0.0070484622 
    0.0125 -0.0229167 -0.0393939 	        4.418959    -0.0046117886    -0.0074898191 
    0.0125 -0.0229167 -0.0373737 	       4.4363036    -0.0046575812    -0.0079351118 
    0.0125 -0.0229167 -0.0353535 	       4.4537667    -0.0047044795    -0.0083845301 
    0.0125 -0.0229167 -0.0333333 	       4.4713496    -0.0047522401    -0.0088381999 
    0.0125 -0.0229167 -0.0313131 	       4.4890534    -0.0048008507    -0.0092964864 
    0.0125 -0.0229167 -0.0292929 	       4.5068794    -0.0048502024    -0.0097596577 
    0.0125 -0.0229167 -0.0272727 	       4.5248294    -0.0049008906     -0.010227229 
    0.0125 -0.0229167 -0.0252525 	       4.5429039    -0.0049522544     -0.010699958 
    0.0125 -0.0229167 -0.0232323 	       4.5611046    -0.0050046143      -0.01117799 
    0.0125 -0.0229167 -0.0212121 	       4.5794328    -0.0050577666     -0.011661348 
    0.0125 -0.0229167 -0.0191919 	       4.5978891    -0.0051118481     -0.012150347 
    0.0125 -0.0229167 -0.0171717 	       4.6164761    -0.0051670117     -0.012645265 
    0.0125 -0.0229167 -0.0151515 	       4.6351939    -0.0052231618      -0.01314601 
    0.0125 -0.0229167 -0.0131313 	       4.6540442    -0.0052802775     -0.013653135 
    0.0125 -0.0229167 -0.0111111 	       4.6730277    -0.0053384022     -0.014166682 
    0.0125 -0.0229167 -0.00909091 	       4.6921457     -0.005397556     -0.014686945 
    0.0125 -0.0229167 -0.00707071 	       4.7114001    -0.0054576621       -0.0152141 
    0.0125 -0.0229167 -0.00505051 	       4.7307914     -0.005518835     -0.015748329 
    0.0125 -0.0229167 -0.0030303 	       4.7503207    -0.0055810855     -0.016289934 
    0.0125 -0.0229167 -0.0010101 	       4.7699894    -0.0056444826     -0.016839182 
    0.0125 -0.0229167  0.0010101 	       4.7897982    -0.0057095348     -0.017395474 
    0.0125 -0.0229167  0.0030303 	       4.8097489    -0.0057750704      -0.01796045 
    0.0125 -0.0229167 0.00505051 	       4.8298424    -0.0058418867     -0.018533844 
    0.0125 -0.0229167 0.00707071 	       4.8500794    -0.0059098218     -0.019115453 
    0.0125 -0.0229167 0.00909091 	       4.8704611    -0.0059790779     -0.019705664 
    0.0125 -0.0229167  0.0111111 	       4.8909888    -0.0060491898     -0.020305105 
    0.0125 -0.0229167  0.0131313 	       4.9116632    -0.0061204338     -0.020913683 
    0.0125 -0.0229167  0.0151515 	       4.9324857    -0.0061928144     -0.021532011 
    0.0125 -0.0229167  0.0171717 	       4.9534571    -0.0062668016     -0.022160108 
    0.0125 -0.0229167  0.0191919 	       4.9745782    -0.0063418835     -0.022797938 
    0.0125 -0.0229167  0.0212121 	       4.9958505    -0.0064181201     -0.023446169 
    0.0125 -0.0229167  0.0232323 	       5.0172745    -0.0064959078     -0.024104644 
    0.0125 -0.0229167  0.0252525 	       5.0388513    -0.0065747855     -0.024774355 
    0.0125 -0.0229167  0.0272727 	       5.0605817    -0.0066549354     -0.025455361 
    0.0125 -0.0229167  0.0292929 	       5.0824668    -0.0067365773     -0.026147656 
    0.0125 -0.0229167  0.0313131 	       5.1045075    -0.0068194971      -0.02685175 
    0.0125 -0.0229167  0.0333333 	       5.1267045    -0.0069036824     -0.027567932 
    0.0125 -0.0229167  0.0353535 	       5.1490587    -0.0069890897     -0.028296409 
    0.0125 -0.0229167  0.0373737 	       5.1715709    -0.0070761136     -0.029037409 
    0.0125 -0.0229167  0.0393939 	       5.1942417    -0.0071643608     -0.029791171 
    0.0125 -0.0229167  0.0414141 	       5.2170724     -0.007254443      -0.03055849 
    0.0125 -0.0229167  0.0434343 	       5.2400637    -0.0073458743     -0.031339449 
    0.0125 -0.0229167  0.0454545 	       5.2632161    -0.0074395317     -0.032134393 
